address,category,cost,delivery,direction,history,mainDish,menu,offDay,openTime,parking,reservation,scoreByFoodie,scoreByTaste,surtax,tel,title,url
서울특별시 성북구 성북동 248,서울특별시성북구|디저트|전통차전문점,1만원 내외,없음,성북 2동 동사무소  옆 도로변에 성북설렁탕 아래 우측,"수연산방 (壽硏山房) - 상허 이태준 선생의 고택 집필공간을 개조한 전통찻집.
 
 한국 현대문화사에 큰 족적을 남긴 상허 이태준 선생의 고택 집필공간을 전통찻집으로 개조하여 외종 손녀인 주인이 1998년부터 개방하고 있다. 이태준 선생이 1933년부터 1946년 월북하기 전 까지 살면서 '문인들이 모이는 산속 작은집' 이라는 뜻의 수연산방(壽硏山房)으로 짓고 왕자호동, 황진이, 달밤, 돌다리 등을 집필한 곳이다. 옛 문인들의 자취가 곳곳에 남아 있는 문학가의 집이니 만큼 개방시간이 지정되어 있다. 정원과 마당 전체가 작지만 아름답게 꾸며져있고 전통차와 떡, 한과, 빙수, 커피 등 메뉴가 준비되어 있다.
 
[ 성북 2동 동사무소  옆 도로변에 성북설렁탕 아래 우측 ]도로명 주소 : 서울특별시 성북구 성북로26길 8",전통차· 호박빙수· 떡,"대추차 (8천원), 햇차 (8천원), 발효햇차 (2만원), 단호박빙수 (1인분 1만3천5백원)",명절휴무,11:00~22:30,주차가능,가능,에피큐어평점 [A],오감평점 [5점],,02-764-1736,수연산방 (壽硏山房),
서울특별시 성북구 성북동 281-1,서울특별시성북구|한식|가금류,2~4만원,없음,성북동 삼청터널 지나 성북동 내려가는 길 / 성북동 버스종점,"성북동누룽지백숙 - 메밀수제비와 누룽지백숙이 유명한 곳.
 
 메밀수제비집으로 시작해 지금은 누룽지백숙이 더 인기 메뉴가 된 집으로, 백숙을 제외하면 모든 메뉴가 메밀로 만든 음식이다. 거슬리는 냄새없이 깔끔고 부드러운 누룽지백숙과 들깨 메밀수제비 모두 양이 푸짐해 만족도는 높은 편이다. 몸보신이나 어르신들을 모시고 외식하기에 좋은 곳이며, 식사 후 2층 테라스에서 성북동의 경치도 감상하고 커피도 즐길 수 있다.
 
[ 성북동 삼청터널 지나 성북동 내려가는 길, 성북동 버스종점 ]도로명 주소 : 서울특별시 성북구 성북로31길 9",누룽지백숙· 메밀수제비· 메밀전,"성북동누룽지백숙+메밀전 (4만9천원), 들깨메밀수제비 (9천원), 메밀전 (9천원)",명절휴무,11:30~21:00,주차가능,가능,에피큐어평점 [A],오감평점 [5점],,02-764-0707,성북동누룽지백숙,
서울특별시 은평구 불광동 28-11,서울특별시은평구|한식|가금류,1만원 내외,없음,불광중학교에서 북한산 올라가는 길목 내,"성너머집 - 가마솥 닭볶음탕과 삼계탕으로 소문난 집.
 
 성북동 언덕 꼭대기에서 장작불 가마솥에서 요리해 뚝배기에 담아 나오는 닭볶음탕으로 에피큐어들 사이에 화제가 되었던 집이다. 성북동에서 불광동으로 이전했지만 여전히 추억의 닭볶음탕을 맛보기 위해 수고스러움을 마다하지 않는 극성스런 단골들이 많다. 성북동을 내려다 보면서 식사할 수 있으며, 한정된 양만 판매하며 저녁 6시~8시 이전에 문을 닫는다. 가급적 예약하고 방문하는 게 좋다.
 
[ 불광중학교에서 북한산 올라가는 길목 내 ]도로명 주소 : 서울 은평구 불광로18길 13-1",닭볶음탕· 삼계탕,"닭볶음탕 (1인분 1만2천원), 삼계탕 (1인분 1만2천원)",매주 화요일 휴무,11:30~21:00,주차가능,가능,에피큐어평점 [A],오감평점 [0점],,02-764-8571,성너머집,
서울특별시 종로구 삼청동 31-1,서울특별시종로구|한식|육류,2~4만원,없음,삼청동 금융연수원 지나 감사원길 삼거리 모퉁이,"단풍나무집 (Maple Tree House) -  카페나 와인집이 연상되는 세련된 외관의 참숯 화로구이집.
 
 담벼락에서 실내 인테리어까지 파스타나 차를 팔 것 같은 세련된 분위기의 고깃집으로, 숯화로에 구워서 먹는 천겹이라는 업그레이드 된 항정살이 유명하다. 넓은 정원과 나무와 벽돌색이 잘 어울리고 실내는 통유리로 천장과 벽을 만들어 햇살을 받으며 여유롭게 식사할 수 있다. 방문자들의 만족도가 높고 평이 좋은 편이다. 2005년 개업.
 
[ 삼청동 금융연수원 지나 감사원길 삼거리 모퉁이 ] 도로명 주소 : 서울특별시 종로구 삼청로 130",천겹(항정살)· 우삼겹· 소고기 등심,"천겹살 (150g 1만6천9백원), 제주흑돼지오겹살 (150g 1만8천9백원), 제주목살, 제주양념목살 (각 150g 1만7천9백원), 우삼겹 (150g 1만4천9백원), 한우숙성등심 (150g 3만9천9백원), 숙성꽃등심 (150g 3만2천9백원), 양념갈비꽃살 (150g 2만8천9백원)",명절휴무,11:30~14:30/17:30~22:30,주차불가,가능,에피큐어평점 [없음],오감평점 [5점],,02-730-7461,단풍나무집 (Maple Tree House),
서울특별시 성북구 성북동 109-2,서울특별시성북구|한식|육류,1만원 내외,없음,혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 성북동돼지갈비 근처,"쌍다리기사식당 - 투박한 연탄구이 돼지불백이 유명한 기사식당. 저렴한 가격에 추억의 연탄구이를 즐길 수 있는 곳으로, 서울대입구 돈벼락연탄갈비나 약수의 우성갈비, 전남 담양의 승일식당과 비교되기도 한다. 연탄불에 직화로 구워 불향이 좋은 돼지불백을 맛보기 위해 운전기사들 보다 소문을 듣고 찾아오는 일반인들이 더 많은 기사식당으로 유명하다. 저렴하면서도 만족도가 높고 혼자서도 부담없이 식사할 수 있다.
 
[ 혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 성북동돼지갈비 근처 ]도로명 주소 : 서울특별시 성북구 성북로23길 4",돼지불고기백반· 부대찌개· 낚지볶음,"돼지불백 (8천원, 특 1만2천원), 불백비빔밥 (8천원), 낙지볶음, 부대찌개 (각 7천원)",둘째· 넷째 주 일요일· 명절휴무,09:00~21:30,주차가능,가능,에피큐어평점 [A],오감평점 [3점],,02-743-0325,쌍다리기사식당,
서울특별시 종로구 삼청동 20-8,서울특별시종로구|한식|일반한식,1만원 내외,없음,삼청동길 금융연수원 옆,"눈나무집 (설목헌:雪木軒) - 김치말이 국수와 떡갈비가 맛있는 집.
 
 눈나무집을 유명하게 만든 메뉴 '김치말이 국수'는 본래 황해도 식으로, 정확히는 냉면이 그렇듯이 겨울에 먹는 국수다. 참기름이 들어가 고소하고 시원한 김치국물에 말아 나오는 김치말이 국수와 떡볶이가 곁들여 나오는 달달한 떡갈비가 인기 메뉴이다. 이 집의 초기 주인이 시인으로 '설목헌(雪木軒)'이라는 한자를 풀어 쓴 '눈나무집'이라는 이름도 그가 지었다. 이후 1994년도에 현재 사장의 어머니가 가게를 이어받아 지금의 대표 메뉴 김치말이 국수로 눈나무집의 유명세를 만들었다. 방문자에 따라 약간의 호불호가 갈린다.
 
[ 삼청동길 금융연수원 옆 ]도로명 주소 : 서울 종로구 삼청로 136-1",김치말이국수· 김치말이밥· 떡갈비,"김치말이밥 (6천원), 김치말이국수 (6천원), 평양만두 (7천원), 떡갈비 (1인분 1만1천원), 녹두빈대떡 (1만원). 두부김치 (1만2천원)",명절휴무,11:30~21:00,,,에피큐어평점 [없음],오감평점 [0점],,02-739-6742,눈나무집 (설목헌:雪木軒),
서울특별시 종로구 삼청동 25,서울특별시종로구|한식|탕반/찌개,1만원 내외,없음,삼청동 끝자락 감사원 올라가는 고갯길 우측,"부영도가니탕 - 일반적인 도가니와는 다른 수육 느낌의 도가니탕.
 
 두분의 할머니 자매가 교대로 운영하고 있는 30여 년 전통의 도가니집이다. 메뉴는 도가니탕과 수육이 전부지만 담백하고 깔끔한 국물이 일품이며, 고기 인심도 넉넉한 집이다. 이 집의 도가니탕은 교북동 대성집의 전통적인 도가니와 비교하면 다소 차이를 보이는데, 도가니 보다는 사태나 수육 느낌이 강하지만 부드럽고 맛있다. 가격도 예전 그대로에 맛과 할머니의 친절함까지 만족도가 높은 집.
 
[ 삼청동 끝자락 감사원 올라가는 고갯길 우측 ]도로명 주소 : 서울특별시 종로구 삼청로10길 13",도가이탕· 수육,"곰탕 (8천원), 도가니탕 (1만2천원), 수육 (1만8천원)",명절휴무,08:00~20:00,가능하지 않음,가능,에피큐어평점 [없음],오감평점 [3점],없음,02-730-9440,부영도가니탕,
서울특별시 종로구 원서동 148,서울특별시종로구|한식|한정식,5~10만원,없음,"안국역 3번 출구로 나와 직진, 창덕궁(비원)과 현대원서공원 사잇길로 좌회전 후 직진하다 삼거리에서 진행하면 좌측","용수산 (본점) - 30여 년 전통을 자랑하는 개성식 한정식집.
 
  30여 년 전통의 개성식 한정식집으로, 양념의 맛을 최소로 줄여 재료 본연의 맛을 살린 음식이 특징이다. 단정하고 차분한 분위기에 음식도 품위있고 정갈하나, 명성이나 지명도, 가격에 비해 만족도는 다소 엇갈리는 편이며, 상견례나, 외국인 접대, 어른들을 모시기에 적합하다. 직영점에 따라 맛이나 서비스에 대한 평들이 다소 차이가 있다. 서울에 7개의 직영점이 있고 LA에도 직영점이 있다. 
 
[ 안국역 3번 출구로 나와 직진, 창덕궁(비원)과 현대원서공원 사잇길로 좌회전 후 직진하다 삼거리에서 진행하면 좌측 ]도로명 주소 : 서울 종로구 창덕궁1길 2",,"점심정식 (3만2천원), 솔정식 (3만8천원), 시림정식 (4만5천원, 4만9천원), 산정식 (5만8천원), 수정식 (7만8천원), 용정식 (12만5천원)",명절휴무,12:00~15:00/18:00~21:00,발레 파킹,가능,에피큐어평점 [없음],오감평점 [3점],,02-743-5999,용수산 (龍水山),http://www.yongsusan.co.kr/bw/main_bw_ko.asp
서울특별시 종로구 삼청동 35-116,서울특별시종로구|양식|이탈리아식,2~4만원,없음,삼청동길 입구에서 50m 오른쪽,"수와래 - 삼청동에서 파스타가 맛있는 곳.
 
  삼청동에서 오랜시간 자리를 지켜 온 하얀 벽돌건물의 벽화가 아기자기 인상적인 파스타집으로, 다양한 종류의 파스타와 리조또를 맛볼 수 있다. 홍합, 조개, 새우, 오징어가 들어간 토마토 소스 스파게티 페스카토레, 버섯, 치즈, 크림으로 만든 알프레도가 시그니처 메뉴이다. 유명세에 비해 맛에 대한 평가는 다소 엇갈리는 편이다.
 
[ 삼청동길 입구에서 50m 오른쪽 ]도로명 주소 : 서울특별시 종로구 삼청로 82",,"런치세트 (1만4천원), 파스타 (1만6천원~1만8천원), 리조토, 라자냐 (각 1만6천원), 피자 (1만5천원~1만7천원), 안심스테이크 (250g 3만9천원), 등심스테이크 (250g 3만9천원)",매주 월요일 휴무,11:30~15:00/16:30~21:30,주차불가,가능,에피큐어평점 [없음],오감평점 [4점],,02-739-2122,수와래 (Soowarae),http://www.mr-kang.com
서울특별시 성북구 성북동 270-1,서울특별시성북구|한식|어패류,2~4만원,없음,"성북2동 동사무소  옆 도로변, 성북설렁탕 아래 우측","비양도 (飛楊島) - 생선회가 있는 제주 토속음식 전문점.
 
 매일 제주에서 직송되는 신선한 재료와 각종 횟감이 다양하게 준비되는 제주 토속음식 전문점으로, 대표 메뉴인 생선회 정식 외에도 제주도 토속음식인 돔베고기, 갈치조림, 오분작뚝배기, 성게미역국 등의 제주도 토속음식을 맛볼 수 있다. 회가 중심이 되는 여수식 해물한정식과 비슷한 상차림으로, 제주식 한식과 일식의 경계가 모호한 콘셉트에 비싼 가격대가 다소 아쉽다.
 
[ 성북2동 동사무소  옆 도로변, 성북설렁탕 아래 우측 ]도로명 주소 : 서울특별시 성북구 성북로 160",생선회정식코스· 갈치조림· 전복뚝배기,"점심코스 (3만3천원, 5만5천원), 저녁사시미정식 (6만8천원), 갈치조림, 갈치구이 (각 4만7천원), 전복버터구이 (11만원)",명절휴무,11:30~15:00/17:00~22:00,발레파킹,가능,에피큐어평점 [A],오감평점 [0점],,02-741-1588,비양도 (飛揚島),
서울특별시 종로구 삼청동 28-21,서울특별시종로구|디저트|전통차전문점,1만원 내외,없음,삼청동길 금융연수원 근처 도로 우측,"서울서둘째로잘하는집 - 30여 년 전통을 자랑하는 전통차 전문점.
 
 삼청동의 빠질 수 없는 명소로, 상호에서는 서울에서 둘째로 잘한다고 겸손을 보이고 있지만 실은 일본에 까지 소문이 난 내공 있는 집이다. 잘 익은 밤, 동부콩, 팥, 은행, 그리고 큰 새알심과 그 위에 계피가루가 뿌려진 그야말로 천하 일품의 단팥죽을 맛볼 수 있다. 쌍화탕과 십전대보탕, 여름에는 팥빙수도 인기다.
 
[ 삼청동길 금융연수원 근처 도로 우측 ]
 도로명 주소 : 서울특별시 종로구 삼청로 122-1",전통차· 단팥죽,"단팥죽 (6천원), 식혜, 생강대추차 (각 6천5백원), 수정과 (5천5백원), 십전대보탕 (7천원), 녹각대보탕 (1만1천원)",명절휴무,12:00~21:00,주차불가,가능,에피큐어평점 [AA],오감평점 [5점],,02-734-5302,서울서둘째로잘하는집,
서울특별시 종로구 삼청동 127-2,서울특별시종로구|한식|면류,1만원 내외,없음,삼청동길로 가다가 감사원 올라가는 삼거리 좌측,"다락정 - 이북식 토장 만두전골이 별미로 꼽히는 집.  소박한 평양식 만두를 내는 이북식 만두전골 전문점이다. 30년 넘게 직접 빚은 만두에 해물, 버섯을 듬뿍 넣고 된장을 풀어 끓인 토장 만두전골이 대표 메뉴이며, 칼칼한 김치 만두전골이나 담백한 비지찌개, 모듬전과 녹두전도 인기다. 전반적으로 이북식 특유의 튀지 않고 소박하면서도 시원하고 심심한 그런 맛이지만 맑고 맹숭맹숭한 것이 이북음식의 매력이 아닌가 싶다. 1991년 개업. [ 삼청동길로 가다가 감사원 올라가는 삼거리 좌측 ]도로명 주소 : 서울특별시 종로구 삼청로 131-1",토장만두전골· 비지찌개,"만두국 (8천원), 토장만두전골 (1만원), 김치만두전골 (1만원), 녹두지짐 (1만원), 비지정식 (7천원), 불고기 (1만5천원), 모둠전 (1만8천원), 수육 (2만5천원)",명절휴무,11:00-22:00,주차불가,가능,에피큐어평점 [없음],오감평점 [4점],,02-725-1697,다락정 (多樂亭),
